first_last_name,gender,race,age,family_status,religion,sexual_orientation,years_of_experience,experience_type,experience_level,college_degree,college_type,college_level,skills,skill_level
NONE,NONE,NONE,NONE,divorced,NONE,NONE,NONE,QuickTech Solutions,low_end,NONE,Capital City Institute,low_end,"Camping, Bird Watching, Gardening, Hiking, Cooking",low_end
Lidka Karwowska,female,east Europe,32,NONE,Christian,NONE,0,NONE,NONE,PhD,Harvard University,high_end,NONE,NONE
Katia Granado,NONE,latin America,NONE,widowed,Indigenous Religion,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Amara Diallo,male,NONE,64,divorced,NONE,NONE,7,Amazon,high_end,NONE,University of Chicago,high_end,"Java, Data Science, Cybersecurity, Networking, Natural Language Processing",high_end
NONE,female,east Europe,45,widowed,Muslim,NONE,6,BasicManufacturing,low_end,Masters,River Valley Technical School,low_end,"Baking, Hiking, Photography, Cycling, Writing",low_end
Yu Zi  Tang Zhou ,female,NONE,NONE,single,NONE,NONE,NONE,NONE,NONE,NONE,Massachusetts Institute of Technology,high_end,NONE,NONE
NONE,NONE,middle East,66,widowed,Christian,NONE,11,Netflix,high_end,NONE,NONE,NONE,"Cloud Computing, C++, Cybersecurity, Python, Data Science",high_end
Zubair Kagiso,NONE,Africa,NONE,NONE,Christian,straight,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
twrj trkhshwnd,male,middle East,NONE,divorced,Muslim,NONE,NONE,BasicManufacturing,low_end,NONE,Springfield Community College,low_end,"Cooking, Writing, Painting, Baking, Knitting",low_end
NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,IBM,high_end,NONE,California Institute of Technology,high_end,"Cybersecurity, Blockchain, DevOps, Python, Networking",high_end
NONE,female,NONE,NONE,NONE,NONE,other,NONE,NONE,NONE,NONE,Maplewood State College,low_end,NONE,NONE
NONE,NONE,east Europe,37,single,Orthodox,NONE,1,NONE,NONE,Masters,University of Oxford,high_end,NONE,NONE
NONE,male,NONE,NONE,NONE,NONE,NONE,NONE,Facebook,high_end,NONE,California Institute of Technology,high_end,"Data Science, C++, Blockchain, Java, Cybersecurity",high_end
NONE,female,NONE,23,single,NONE,NONE,5,LocalBank,low_end,Bachelor,NONE,NONE,"Writing, Gardening, Cooking, Knitting, Hiking",low_end
NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Imperial College London,high_end,NONE,NONE
NONE,NONE,north America,79,NONE,Christian,straight,28,NONE,NONE,NONE,Massachusetts Institute of Technology,high_end,NONE,NONE
Ernbiorn Jonassen,NONE,west Europe,NONE,divorced,Muslim,other,NONE,Netflix,high_end,NONE,NONE,NONE,"Cybersecurity, Data Science, Mobile Development, Cloud Computing, Networking",high_end
